,trade_date,open,low,close,pre_close,change,high
435,20170808,4.02,3.98,4.07,4.01,0.06,4.08
436,20170807,4.02,3.97,4.01,4.03,-0.02,4.06
437,20170804,4.05,4.02,4.03,4.06,-0.03,4.12
438,20170803,4.05,4.01,4.06,4.05,0.01,4.15
439,20170802,3.96,3.95,4.05,3.96,0.09,4.08
440,20170801,3.92,3.92,3.96,3.92,0.04,3.97
441,20170731,3.88,3.88,3.92,3.88,0.04,3.96
442,20170728,3.85,3.82,3.88,3.87,0.01,3.89
443,20170727,3.91,3.85,3.87,3.9,-0.03,3.91
444,20170726,3.85,3.85,3.9,3.85,0.05,3.95
445,20170725,3.82,3.81,3.85,3.8,0.05,3.89
446,20170724,3.77,3.76,3.8,3.78,0.02,3.84
447,20170721,3.78,3.76,3.78,3.79,-0.01,3.8
448,20170720,3.77,3.74,3.79,3.76,0.03,3.79
449,20170719,3.75,3.74,3.76,3.76,0.0,3.8
450,20170718,3.76,3.73,3.76,3.79,-0.03,3.81
451,20170717,3.68,3.67,3.79,3.68,0.11,3.82
452,20170714,3.68,3.64,3.68,3.64,0.04,3.69
453,20170713,3.76,3.75,3.81,3.75,0.06,3.82
454,20170712,3.73,3.72,3.75,3.72,0.03,3.77
455,20170711,3.69,3.68,3.72,3.69,0.03,3.74
456,20170710,3.68,3.67,3.69,3.69,0.0,3.7
457,20170707,3.67,3.66,3.69,3.67,0.02,3.69
458,20170706,3.68,3.66,3.67,3.68,-0.01,3.69
459,20170705,3.68,3.67,3.68,3.68,0.0,3.69
460,20170704,3.68,3.66,3.68,3.69,-0.01,3.7
461,20170703,3.7,3.67,3.69,3.7,-0.01,3.7
462,20170630,3.67,3.66,3.7,3.68,0.02,3.7
463,20170629,3.67,3.65,3.68,3.67,0.01,3.68
464,20170628,3.66,3.65,3.67,3.66,0.01,3.68
465,20170627,3.66,3.64,3.66,3.66,0.0,3.68
466,20170626,3.67,3.65,3.66,3.67,-0.01,3.7
467,20170623,3.64,3.63,3.67,3.65,0.02,3.67
468,20170622,3.62,3.62,3.65,3.62,0.03,3.69
469,20170621,3.63,3.61,3.62,3.62,0.0,3.64
470,20170620,3.61,3.61,3.62,3.61,0.01,3.63
471,20170619,3.61,3.6,3.61,3.62,-0.01,3.63
472,20170616,3.61,3.6,3.62,3.61,0.01,3.62
473,20170615,3.62,3.6,3.61,3.63,-0.02,3.63
474,20170614,3.64,3.61,3.63,3.64,-0.01,3.64
475,20170613,3.63,3.62,3.64,3.64,0.0,3.65
476,20170612,3.65,3.63,3.64,3.66,-0.02,3.67
477,20170609,3.67,3.64,3.66,3.67,-0.01,3.69
478,20170608,3.66,3.64,3.67,3.67,0.0,3.67
479,20170607,3.64,3.63,3.67,3.64,0.03,3.68
480,20170606,3.63,3.62,3.64,3.63,0.01,3.65
481,20170605,3.72,3.61,3.63,3.72,-0.09,3.73
482,20170602,3.74,3.72,3.72,3.74,-0.02,3.78
483,20170601,3.72,3.71,3.74,3.73,0.01,3.75
484,20170531,3.7,3.69,3.73,3.7,0.03,3.74
485,20170526,3.68,3.67,3.7,3.7,0.0,3.71
486,20170525,3.65,3.65,3.7,3.66,0.04,3.77
487,20170524,3.67,3.63,3.66,3.68,-0.02,3.69
488,20170523,3.63,3.63,3.68,3.63,0.05,3.69
489,20170522,3.61,3.61,3.63,3.61,0.02,3.65
490,20170519,3.61,3.6,3.61,3.61,0.0,3.62
491,20170518,3.6,3.59,3.61,3.62,-0.01,3.62
492,20170517,3.62,3.6,3.62,3.63,-0.01,3.62
493,20170516,3.66,3.61,3.63,3.66,-0.03,3.67
494,20170515,3.67,3.64,3.66,3.67,-0.01,3.69
495,20170512,3.61,3.6,3.67,3.62,0.05,3.69
496,20170511,3.58,3.57,3.62,3.58,0.04,3.64
497,20170510,3.56,3.56,3.58,3.57,0.01,3.6
498,20170509,3.55,3.54,3.57,3.57,0.0,3.58
499,20170508,3.52,3.52,3.57,3.54,0.03,3.57
500,20170505,3.52,3.49,3.54,3.53,0.01,3.56
501,20170504,3.53,3.52,3.53,3.53,0.0,3.54
502,20170503,3.55,3.52,3.53,3.56,-0.03,3.56
503,20170502,3.58,3.55,3.56,3.59,-0.03,3.58
504,20170428,3.58,3.57,3.59,3.59,0.0,3.59
505,20170427,3.58,3.55,3.59,3.58,0.01,3.59
506,20170426,3.57,3.57,3.58,3.57,0.01,3.59
507,20170425,3.57,3.56,3.57,3.57,0.0,3.58
508,20170424,3.54,3.53,3.57,3.54,0.03,3.58
509,20170421,3.51,3.5,3.54,3.51,0.03,3.56
510,20170420,3.53,3.5,3.51,3.53,-0.02,3.54
511,20170419,3.56,3.52,3.53,3.57,-0.04,3.57
512,20170418,3.6,3.57,3.57,3.6,-0.03,3.6
513,20170417,3.6,3.57,3.6,3.61,-0.01,3.61
514,20170414,3.63,3.6,3.61,3.63,-0.02,3.63
515,20170413,3.62,3.61,3.63,3.62,0.01,3.64
516,20170412,3.61,3.6,3.62,3.62,0.0,3.63
517,20170411,3.62,3.6,3.62,3.63,-0.01,3.63
518,20170410,3.64,3.62,3.63,3.64,-0.01,3.64
519,20170407,3.65,3.62,3.64,3.66,-0.02,3.66
520,20170406,3.67,3.65,3.66,3.68,-0.02,3.68
521,20170405,3.67,3.66,3.68,3.7,-0.02,3.69
522,20170331,3.65,3.64,3.7,3.66,0.04,3.71
523,20170330,3.64,3.61,3.66,3.65,0.01,3.66
524,20170329,3.64,3.63,3.65,3.64,0.01,3.66
525,20170328,3.66,3.63,3.64,3.65,-0.01,3.66
526,20170327,3.62,3.61,3.65,3.63,0.02,3.66
527,20170324,3.61,3.6,3.63,3.6,0.03,3.63
528,20170323,3.61,3.6,3.6,3.6,0.0,3.63
529,20170322,3.64,3.59,3.6,3.65,-0.05,3.65
530,20170321,3.66,3.64,3.65,3.67,-0.02,3.67
531,20170320,3.64,3.64,3.67,3.65,0.02,3.67
532,20170317,3.68,3.63,3.65,3.68,-0.03,3.69
533,20170316,3.66,3.65,3.68,3.66,0.02,3.69
534,20170315,3.65,3.64,3.66,3.66,0.0,3.66
535,20170314,3.67,3.65,3.66,3.67,-0.01,3.68
536,20170313,3.63,3.62,3.67,3.63,0.04,3.67
537,20170310,3.63,3.62,3.63,3.64,-0.01,3.65
538,20170309,3.63,3.62,3.64,3.64,0.0,3.65
539,20170308,3.63,3.62,3.64,3.64,0.0,3.64
540,20170307,3.62,3.61,3.64,3.63,0.01,3.64
541,20170306,3.65,3.6,3.63,3.65,-0.02,3.66
542,20170303,3.66,3.64,3.65,3.67,-0.02,3.66
543,20170302,3.68,3.66,3.67,3.67,0.0,3.69
544,20170301,3.69,3.65,3.67,3.68,-0.01,3.71
545,20170228,3.68,3.67,3.68,3.69,-0.01,3.7
546,20170227,3.71,3.67,3.69,3.72,-0.03,3.72
547,20170224,3.73,3.7,3.72,3.73,-0.01,3.74
548,20170223,3.71,3.71,3.73,3.72,0.01,3.75
549,20170222,3.71,3.68,3.72,3.71,0.01,3.72
550,20170221,3.7,3.69,3.71,3.69,0.02,3.76
551,20170220,3.64,3.63,3.69,3.63,0.06,3.72
552,20170217,3.69,3.63,3.63,3.69,-0.06,3.69
553,20170216,3.68,3.66,3.69,3.67,0.02,3.7
554,20170215,3.62,3.61,3.67,3.62,0.05,3.68
555,20170214,3.63,3.6,3.62,3.63,-0.01,3.63
556,20170213,3.6,3.59,3.63,3.6,0.03,3.64
557,20170210,3.57,3.57,3.6,3.57,0.03,3.6
558,20170209,3.54,3.54,3.57,3.55,0.02,3.58
559,20170208,3.53,3.51,3.55,3.54,0.01,3.55
560,20170207,3.55,3.52,3.54,3.55,-0.01,3.56
561,20170206,3.55,3.54,3.55,3.55,0.0,3.57
562,20170203,3.58,3.54,3.55,3.58,-0.03,3.58
563,20170126,3.54,3.53,3.58,3.54,0.04,3.59
564,20170125,3.53,3.52,3.54,3.54,0.0,3.54
565,20170124,3.51,3.5,3.54,3.51,0.03,3.54
566,20170123,3.52,3.5,3.51,3.52,-0.01,3.52
567,20170120,3.51,3.5,3.52,3.52,0.0,3.52
568,20170119,3.51,3.5,3.52,3.51,0.01,3.55
569,20170118,3.5,3.49,3.51,3.5,0.01,3.52
570,20170117,3.49,3.48,3.5,3.5,0.0,3.51
571,20170116,3.45,3.43,3.5,3.46,0.04,3.53
572,20170113,3.42,3.42,3.46,3.43,0.03,3.46
573,20170112,3.43,3.42,3.43,3.43,0.0,3.44
574,20170111,3.43,3.42,3.43,3.43,0.0,3.45
575,20170110,3.44,3.42,3.43,3.44,-0.01,3.44
576,20170109,3.43,3.42,3.44,3.44,0.0,3.44
577,20170106,3.46,3.42,3.44,3.46,-0.02,3.46
